"Name","International","National"
"Professional Air Traffic Controllers Organization, Inc\. \(PATCO\)","","PATCO"
"International Union, United Automobile, Aerospace & Agricultural Implement Workers of America \(UAW\)","","UAW"
"Industrial Workers of the World","","IWW"
"SERVICE EMPLOYEES INTERNATIONAL UNION HEALTHCARE PENNSYLVANIA","","SEIU"
"SERVICE EMPLOYEES INTERNATIONAL UNION","","SEIU"
"NEW YORK STATE NURSES ASSOCIATION","","NYSNA"
"International Brotherhood of Teamsters L","","Teamsters"
"United Food and Commercial Workers District Union Local One","","UFCW"
"SEIU Healthcare Minnesota & Iowa","","SEIU"
"Service Employees International Union \(SEIU\) Healthcare Illinois & Indiana","","SEIU"
"Western States Regional Joint Board, Workers United","","WU"
"United Nurses and Allied Professionals","","UNAP"
"International Alliance of Theatrical Stage Employees \(IATSE\)","","IATSE"
"United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union, AFL-CIO","","USW"
"American Postal Workers Union, AFL-CIO","","APWU"
"International Union of Operating Engineers","","IUOE"
"United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied-Industrial and Service Workers International Union, AFL-CIO/CLC","","USW"
"UTILITY WORKERS UNION OF AMERICA, AFL-CIO","","UWUA"
"International Association of Machinists and Aerospace Workers, AFL-CIO \(IAM\)","","IAM"
"UNITED STEEL, PAPER AND FORESTRY, RUBBER, MANUFACTURING, ENERGY, ALLIED INDUSTRIAL AND SERVICE WORKERS INTERNATIONAL UNION, AFL-CIO-CLC","","USW"
"United Steelworkers","","USW"
"National Nurses Organizing Committee","","NNU"
"UNITED GOVERNMENT SECURITY OFFICERS OF AMERICA, INTERNATIONAL UNION","","UGSOA"
"National Union of Healthcare Workers \[NUHW\]","","NUHW"
"UNITED STEELWORKERS OF AMERICA","","USW"
"NEW ENGLAND COALITION OF PUBLIC SAFETY","","ACOPS"
"CWA","","CWA"
"SERVICE WORKERS UNITED","","WU"
"Transport Workers Union of America","","TWU"
"United Mine Workers of America, AFL-CIO","","UMWA"
"United States Court Security Officers","","USCSO"
"SEIU Healthcare Illinois & Indiana","","SEIU"
"Philadelphia Joint Board, Workers United a/w SEIU","","WU"
"United Federation LEOS-PBA Law Enforcement Officers Security & Police Benevolent Association","","United Federation LEOS-PBA"
"Pennsylvania Association of Staff Nurses and Allied Professionals \(PASNAP\)","","PASNAP"
"Communication Workers of America, AFL-CIO","","CWA"
"National League of Justice and Security Professionals","","NLJSP"
"SPECIAL AND SUPERIOR OFFICERS BENEVOLENT ASSOCIATION","","SSOBA"
"United Government Security Officers of America, International Union","","UGSOA"
"INTERNATIONAL BROTHERHOOD OF TEAMSTERS","","Teamsters"
"UNITED FEDERATION OF SPECIAL POLICE AND SECURITY OFFICERS, INC\.","","United Federation LEOS-PBA"
"UNITED STEEL, PAPER & FORESTRY, RUBBER, MANUFACTURING, ENERGY, ALLIED INDUSTRIAL & SERVICE WORKERS I","","USW"
"United Steelworkers of America AFL-CIO-CLC","","USW"
"California Federation of Teachers","","AFT"
"Retail, Wholesale and Department Store Union","","RWDSU"
"Workers United/SEIU","","WU"
"United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union, AFL-CIO/CLC","","USW"
"International Association of EMTs and Paramedics","","NAGE"
"National Air Traffic Controllers Association \(NATCA\)","","NATCA"
"COMMUNICATIONS WORKERS OF AMERICA","","CWA"
"Pacific Northwest Regional Council of Carpenters","","UBC"
"NATIONAL UNION OF HEALTHCARE WORKERS \(NUHW\)","","NUHW"
"International Association of EMTs and Paramedics \(IAEP\)","","NAGE"
"Professional Air Traffic Controllers Organization","","PATCO"
"UNITED STEEL, PAPER AND FORESTRY, RUBBER, MANUFACTURING, ENERGY, ALLIED INDUSTRIAL AND SERVICE WORKERS INTERNATIONAL UNION \(USW\)","","USW"
"International Union, United Automobile, Aerospace & Agricultural Implement Workers of America - UAW","","UAW"
"American Federation of Teachers","","AFT"
"SPECIAL & SUPERIOR OFFICERS BENEVOLENT ASSOCIATION","","SSOBA"
"UNITED STEEL, PAPER & FORESTRY, RUBBER, MANUFACTURING, ENERGY, ALLIED INDUSTRIAL AND SERVICE WORKERS","","USW"
"UNITED GOVERNMENT SECURITY OFFICERS OF AMERICA","","UGSOA"
"INTERNATIONAL ALLIANCE OF THEATRICAL STAGE EMPLOYEES, MOVING PICTURE TECHNICIANS, ARTISTS AND ALLIED","","IATSE"
"CALIFORNIA NURSES ASSOCIATION/NATIONAL NURSES ORGANIZING COMMITTE, NATIONAL NURSES UNITED, AFL-CIO","","NNU"
"INTERNATIONAL UNION, UNITED AUTOMOBILE, AEROSPACE & AGRICULTURAL IMPLEMENT WORKERS OF AMERICA, UAW","","UAW"
"UNITED STEEL, PAPER & FORESTRY, RUBBER, MANUFACTURING, ENERGY, ALLIED-INDUSTRIAL & SERVICE WORKERS I","","USW"
"United Steelworkers of America AFL-CIO, CLC","","USW"
"Service Employees International Union, Florida Healthcare Union","","SEIU"
"Union de Trabajadores de las Comunicaciones, CWA, AFL-CIO","","CWA"
"The Pharmacy Guild, affiliated with the International Association of Machinists and Aerospace Workers, AFL-CIO","","IAM"
"Service Employees International Union – United Healthcare Workers West","","SEIU"
"Workers United Southern Regional Joint Board","","WU"
"SERVICE EMPLOYEES INTERNATIONAL UNION, UNITED HEALTHCARE WORKERS - WEST","","SEIU"
"TRANSPORT WORKERS UNION OF AMERICA, AFL-CIO","","TWU"
"Law Enforcement Officers Security Unions LEOSU, LEOS-PBA","","United Federation LEOS-PBA"
"Retail Wholesale and Department Store Union \(RWDSU\)","","RWDSU"
"International Longshore and Warehouse Union","","ILWU"
"International Union, Security, Police and Fire Professionals of America, \(SPFPA\)","","SPFPA"
"COMMUNICATION WORKERS OF AMERICA","","CWA"
"CALIFORNIA NURSES ASSOCIATION/NATIONAL NURSES UNITED \(CNA/NNU\)","","NNU"
"Service Employees International Union United Long Term Care Workers","","SEIU"
"UNITED FEDERATION OF SPECIAL POLICE & SECURITY OFFICERS, INC\.","","United Federation LEOS-PBA"
"International Union, Security, Police, and Fire Professionals of America","","SPFPA"
"SEIU UNITED HEALTHCARE WORKERS - WEST","","SEIU"
"INTERNATIONAL BROTHERHOOD OF BOILERMAKERS, IRON SHIP BUILDERS, BLACKSMITHS, FORGERS AND HELPERS, AFL","","IBB"
"UNITED MINE WORKERS OF AMERICA, AFL-CIO","","UMWA"
"UNITED STATES COURT SECURITY OFFICERS","","USCSO"
"United Brotherhood of Carpenters & Joiners of America","","UBC"
"International Union, Security, Police, Fire Professionals of America \(SPFPA\)","","SPFPA"
"United Food & Commercial Workers Int'l Union","","UFCW"
"International Union, United Automobile, Aerospace and Agricultural Implement Workers of America","","UAW"
"Union of American Physicians and Dentists","","UAPD"
"International Association of EMT's and Paramedics","","NAGE"
"Workers United, affiliated with Service Employees International Union \(SEIU\)","","WU"
"SEIU Healthcare Illinois and Indiana","","SEIU"
"Philadelphia Joint Board, Workers United","","WU"
"National Air Traffic Controllers Association AFL-CIO","","NATCA"
"Chicago and Midwest Regional Joint Board, Workers United / SEIU","","WU"
"SEIU United Healthcare Workers - West","","SEIU"
"SEIU Healthcare Minnesota","","SEIU"
"INTERNATIONAL BROTHERHOOD OF BOILERMAKERS, IRON SHIP BUILDERS, BLACKSMITHS, FORGERS AND HELPERS, AFL-CIO,CLC","","IBB"
"United Food and Commercial Workers International Union","","UFCW"
"NATIONAL UNION OF HEALTHCARE WORKERS","","NUHW"
"International Longshoremen's Association","","ILA"
"SERVICE EMPLOYEES INTERNATIONAL UNION, UNITED HEALTHCARE WORKERS-WEST \(SEIU-UHW\)","","SEIU"
"Southwest Regional Council of Carpenters","","UBC"
"United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied-Industrial and Service Workers International Union \(USW\), AFL-CIO-CLC","","USW"
"MINNESOTA NURSES ASSOCIATION","","NNU"
"Indiana/Kentucky/Ohio Regional Council of Carpenters","","UBC"
"Carpenters Industrial Council","","UBC"
"United Steel, Paper & Forestry, Rubber, Manufacturing, Energy, Allied Industrial & Service Workers International Union \(USW\), AFL-CIO-CLC","","USW"
"INTERNATIONAL ASSOCIATION OF SHEET METAL, AIR, RAIL AND TRANSPORTATION WORKERS \(SMART\)","","SMART"
"Laborers' International Union of North America","","LIUNA"
"United Federation of Special Police & Security Officers, Inc\.","","United Federation LEOS-PBA"
"Office and Professional Employees International Union","","OPEIU"
"Service Employees International Union, SEIU Healthcare Pennsylvania","","SEIU"
"UNITED SECURITY & POLICE OFFICERS OF AMERICA","","USPOA"
"SERVICE EMPLOYEES INTERNATIONAL UNION, CTW, CLC","","SEIU"
"WASHINGTON AND NORTHERN IDAHO DISTRICT COUNCIL OF LABORERS","","LIUNA"
"UFCW","","UFCW"
"INTERNATIONAL UNION SECURITY POLICE AND FIRE PROFESSIONALS OF AMERICA \(SPFPA\)","","SPFPA"
"OREGON NURSES ASSOCIATION","","AFT"
"NATIONAL EMERGENCY MEDICAL SERVICES ASSOCIATION \(NEMSA OR NATIONAL EMS ASSOCIATION\)","","NEMSA"
"UNITED FOOD AND COMMERCIAL WORKERS DISTRICT UNION LOCAL ONE","","UFCW"
"United Steel Workers of America","","USW"
"Service Employees International Union, AFL-CIO, CLC","","SEIU"
"United Food and Commercial Workers Union","","UFCW"
"International Brotherhood of Teamsters, AFL-CIO","","Teamsters"
"United Food and Commercial Workers, Loca","","UFCW"
"Workers United, affiliated with Service Employees International Union, AFL-CIO","","WU"
"International Brotherhood of Boilermakers, Iron Ship Builders, Blacksmiths, Forgers and Helpers","","IBB"
"International Association of Fire Fighters","","IAFF"
"Retail, Wholesale & Department Store Union, Southeast Council","","RWDSU"
"Pharmacy Workers United","","WU"
"RESTAURANT WORKERS UNITED","","WU"
"International Union of Elevator Constructors, AFL-CIO","","IUEC"
"AMALGAMATED TRANSIT UNION","","ATU"
"Association of Western Pulp and Paper Workers","","AWPPU"
"Law Enforcement Officers Security Unions \(LEOSU\)","","United Federation LEOS-PBA"
"The NewsGuild - Communications Workers of America, AFL-CIO","","NewsGuild"
"United Automobile, Aerospace and Agricultural Implement Workers of America, UAW","","UAW"
"United Government Security Officers of America International Union","","UGSOA"
"SEIU-UHW, UNITED HEALTHCARE WORKERS WEST","","SEIU"
"United Electrical Radio and Machine Workers of America \(UE\)","","UE"
"SEIU-United Healthcare West","","SEIU"
"THE MINNESOTA NURSES ASSOCIATION","","NNU"
"LABORERS","","LIUNA"
"UNITED MINE WORKERS OF AMERICA","","UMWA"
"United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied, Industrial and Service Workers International Union, AFL-CIO-CLC","","USW"
"United Electrical, Radio & Machine Workers of America \(UE\)","","UE"
"Amalgamated Transit Union, AFL-CIO","","ATU"
"International Union, United Automobile, Aerospace, Agricultural Implement Workers of America, UAW","","UAW"
"Rhode Island Laborers' District Council","","LIUNA"
"International Association of EMTs and Paramedics, SEIU/NAGE, AFL-CIO","","NAGE"
"Screen Actors Guild - American Federation of Television and Radio Artists","","SAG-AFTRA"
"COMMUNICATION WORKERS OF AMERICA, AFL-CIO","","CWA"
"New England Joint Board, UNITE HERE","","UNITE HERE"
"International Union, United Automobile, Aerospace and Agricultural Implement Workers of America, AFL-CIO","","UAW"
"Local Joint Executive Board of Las Vegas a/w UNITE HERE International Union","","UNITE HERE"
"Industrial Workers of the World - Portland Chapter d/b/a Burgerville Workers Union","","IWW"
"United Steel, Paper & Forestry, Rubber, Manufacturing, Energy, Allied Industrial & Service Workers International Union, AFL-CIO, CLC","","USW"
"Starbucks Workers United, affiliated with SEIU","","WU"
"Union of American Physicians & Dentists \(UAPD\)","","UAPD"
"United Federation LEOS-PBA","","United Federation LEOS-PBA"
"Brattleboro Healthcare United, AFT-VT, AFT, AFL-CIO","","AFT"
"The Pharmacy Guild a/w International Association of Machinists & Aerospace Workers, AFL-CIO","","IAM"
"Mid-Atlantic Regional Joint Board Workers United SEIU","","WU"
"INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS, AFL-CIO","","IBEW"
"Committee of Interns and Residents, SEIU","","SEIU"
"Retail Wholesale and Department Store Union","","RWDSU"
"Service Employees International Union HCII, Missouri/Kansas Division","","SEIU"
"California Nurses Association \(CNA\)","","NNU"
"UNITED STEEL, PAPER AND FORESTRY, RUBBER, MANUFACTURING, ENERGY, ALLIED INDUSTRIAL AND SERVICE WORKERS INTERNATIONAL UNION","","USW"
"Industrial Workers of the World \(IWW\)","","IWW"
"WORKERS UNITED, A/W SEIU","","WU"
"The NewsGuild- Communication Workers of America, AFL-CIO","","NewsGuild"
"United Automobile, Aerospace and Agricultural Implement Workers of America","","UAW"
"Bakery, Confectionery, Tobacco Workers and Grain Millers International Union, AFL-CIO, CLC","","BCTGM"
"United Steel, Paper & Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union, AFL-CIO, CLC","","USW"
"International Union, Security Police & Fire Professionals of America \(SPFPA\)","","SPFPA"
"PROFESSIONAL AIR TRAFFIC CONTROLLERS ORGANIZATION, INC\.","","PATCO"
"Washington & Northern Idaho District Council of Laborers","","LIUNA"
"AFT CONNECTICUT","","AFT"
"Law Enforcement Officers Security Unions LEOSU-DC, LEOS-PBA","","United Federation LEOS-PBA"
"CARPENTERS INDUSTRIAL COUNCIL","","UBC"
"Oregon and Southern Idaho District Council of Laborers, affiliated with Laborers' International Union of North America, AFL-CIO","","LIUNA"
"United Steelworkers International Union","","USW"
"Service Employees International Union Healthcare Pennsylvania","","SEIU"
"United Steel Workers","","USW"
"IAM&AW","","IAM"
"NNOC-TEXAS/NNU","","NNU"
"SOUTHWEST REGIONAL COUNCIL OF CARPENTERS","","UBC"
"IAMAW","","IAM"
"United Mine Workers of America, AFL-CIO, CLC","","UMWA"
"IAM MIDWEST TERRITORY","","IAM"
"INT'L UNION UAW","","UAW"
"SERVICE EMPLOYEES INTERNATIONAL UNION \(SEIU\)","","SEIU"
"INTERNATIONAL UNION, UNITED AUTOMOBILE, AEROSPACE AND AGRICULTURAL IMPLEMENT WORKERS OF AMERICA \(UAW","","UAW"
"UNITED BROTHERHOOD OF CARPENTERS & JOINERS OF AMERICA","","UBC"
"PATCO","","PATCO"
"United Steelworkers of America, AFL-CIO/CLC","","USW"
"New York City District Council of Carpenters","","UBC"
"Sheetmetal Workers International Association","","SMART"
"Service Employees Int'l\. Union, Western Region Office, SEIU","","SEIU"
"Communications Workers of America, Local","","CWA"
"Sheet Metal Workers International Associ","","SMART"
"International Brotherhood of Boilermakers, Iron Ship Builders, Blacksmith, Forgers and Helpers","","IBB"
"SEIU Wisconsin","","SEIU"
"Workers United a/w Service Employees International Union, AFL-CIO","","WU"
"Workers United, a/w Service Employees International Union, AFL-CIO","","WU"
"Union of American Physicians & Dentists","","UAPD"
"International Union, United Automobile Aerospace and Agricultural Implement Workers of America \(UAW\), AFL-CIO","","UAW"
"Health Professionals and Allied Employees, AFT/AFL-CIO","","AFT"
"Eastern Atlantic States Regional Council of Carpenters","","UBC"
"UNITED NURSES AND ALLIED PROFESSIONALS","","UNAP"
"National Association of Broadcast Employees & Technicians, the Broadcasting and Cable Television Workers Sector of the Communications Workers of America, AFL-CIO-CLC","","NABET"
"New York Metropolitan Area Joint Board Workers United, SEIU","","WU"
"International Association of Machinists & Aerospace Workers","","IAM"
"Washington and Northern Idaho District Council of Laborers","","LIUNA"
"International Brotherhood of Boilermakers, Iron Ship Builders, Blacksmiths, Forgers and Helpers, AFL-CIO","","IBB"
"International Union of Operating Engineers, AFL-CIO","","IUOE"
"Service Employees International Union - United Healthcare Workers - West","","SEIU"
"The International Alliance of Theatrical Stage Employees, Moving Picture Technicians, Artists and Allied Crafts of the United States, its Territories and Canada","","IATSE"
"United Auto Workers","","UAW"
"International Alliance of Theatrical Stage Employees, Moving Picture Technicians, Artists and Allied Crafts of the United States, its Territories and Canada, AFL-CIO, CLC","","IATSE"
"United Automobile, Aerospace & Agricultural Implement Workers of America, UAW","","UAW"
"Professional Air Traffic Controllers Organization, Inc\.","","PATCO"
"United Automobile, Aerospace and Agricultural Implement Workers of America \(UAW\)","","UAW"
"National Association of Broadcast Employees & Technicians","","NABET"
"National Nurses Organizing Committee \(NNOC\) -Missouri & Kansas/National Nurses United","","NNU"
"Connecticut Health Care Associates, NUHHCE, AFSCME, AFL-CIO","","AFSCME"
"SERVICE EMPLOYEES INTERNATIONAL UNION, UNITED HEALTHCARE WORKERS-WEST","","SEIU"
"Communications Workers of America AFL-CIO","","CWA"
"New Jersey Building Laborers District Council","","LIUNA"
