"Name","National"
"AMERICAN FEDERATION OF STATE, COUNTY, AND MUNICIPAL EMPLOYEES, COUNCIL 5, AFL-CIO","AFSCME"
"AMERICAN FEDERATION OF STATE, COUNTY, AND MUNICIPAL EMPLOYEES, COUNCIL 93, AFL-CIO","AFSCME"
"AMERICAN FEDERATION OF STATE, COUNTY, AND MUNICIPAL EMPLOYEES, DISTRICT COUNCIL 85, AFL-CIO","AFSCME"
"AMERICAN FEDERATION OF STATE, COUNTY, AND MUNICIPAL EMPLOYEES, LOCAL 4911, UNITED EMERGENCY MEDICAL SERVICES WORKERS, AFL-CIO","AFSCME"
"American Federation Of State, County And Municipal Employees, District Council 85, AFL-CIO","AFSCME"
"American Federation of State County & Municipal Employees, Local 2703","AFSCME"
"American Federation of State County and Municipal Employees Council 65","AFSCME"
"American Federation of State County and Municipal Employees District Council 36","AFSCME"
"American Federation of State County and Municipal Employees District Council 40, AFL-CIO, CLC","AFSCME"
"American Federation of State County and Municipal Employees, AFL-CIO, Council 65","AFSCME"
"American Federation of State County and Municipal Employees, MN Council 5","AFSCME"
"American Federation of State, Country and Municipal Employees (AFSCME) Council 31 AFL-CIO","AFSCME"
"American Federation of State, County & Municipal Employees (AFSCME) Council 31, AFL-CIO","AFSCME"
"American Federation of State, County & Municipal Employees (AFSCME) Council 5, Local 3532","AFSCME"
"American Federation of State, County & Municipal Employees Local 2703","AFSCME"
"American Federation of State, County & Municipal Employees Maryland Council 3","AFSCME"
"American Federation of State, County & Municipal Employees, AFL-CIO","AFSCME"
"American Federation of State, County & Municipal Employees, AFL-CIO, Minnesota Council 65","AFSCME"
"American Federation of State, County & Municipal Employees, Council 67","AFSCME"
"American Federation of State, County & Municipal Employees, Council 93","AFSCME"
"American Federation of State, County & Municipal Employees, District Council 47","AFSCME"
"American Federation of State, County & Municipal Employees, District Council 84, AFL-CIO","AFSCME"
"American Federation of State, County & Municipal Employees, Local 2703","AFSCME"
"American Federation of State, County & Municipal Employees, Local 3900 a/w State Healthcare and Research Employees","AFSCME"
"American Federation of State, County & Municipal Employees, MN Council 65, AFL-CIO","AFSCME"
"American Federation of State, County & Municipal Employees, MN. Council 65","AFSCME"
"American Federation of State, County & Municipal Employees, MN. Council 65, AFL-CIO","AFSCME"
"American Federation of State, County & Municipal Employees, Wisconsin Council 40","AFSCME"
"American Federation of State, County and Municiipal Employees (AFSCME) Council 31, AFL-CIO","AFSCME"
"American Federation of State, County and Municipal Employees","AFSCME"
"American Federation of State, County and Municipal Employees ( AFSCME) Council 31 AFL-CIO","AFSCME"
"American Federation of State, County and Municipal Employees (AFSCME) Council 31","AFSCME"
"American Federation of State, County and Municipal Employees (AFSCME) Council 31, AFL-CIO","AFSCME"
"American Federation of State, County and Municipal Employees (AFSCME) Council 5","AFSCME"
"American Federation of State, County and Municipal Employees (AFSCME) District Council 36","AFSCME"
"American Federation of State, County and Municipal Employees (AFSCME) District Council 47, Local 397","AFSCME"
"American Federation of State, County and Municipal Employees (AFSCME) District Council 87, AFL-CIO","AFSCME"
"American Federation of State, County and Municipal Employees (AFSCME) District Council 90, Local 2944-M","AFSCME"
"American Federation of State, County and Municipal Employees (AFSCME) Local 3001","AFSCME"
"American Federation of State, County and Municipal Employees (AFSCME), AFL-CIO","AFSCME"
"American Federation of State, County and Municipal Employees (AFSCME), AFL-CIO, District Council 87","AFSCME"
"American Federation of State, County and Municipal Employees (AFSCME), Council #31, AFL-CIO","AFSCME"
"American Federation of State, County and Municipal Employees (AFSCME), Council 31","AFSCME"
"American Federation of State, County and Municipal Employees (AFSCME), Council 31, AFL-CIO","AFSCME"
"American Federation of State, County and Municipal Employees (AFSCME), Council 65","AFSCME"
"American Federation of State, County and Municipal Employees (AFSCME), District Council 47, Local 397","AFSCME"
"American Federation of State, County and Municipal Employees (AFSCME), Local 1739, AFL-CIO","AFSCME"
"American Federation of State, County and Municipal Employees COUNCIL 65, AFL-CIO","AFSCME"
"American Federation of State, County and Municipal Employees Council 31","AFSCME"
"American Federation of State, County and Municipal Employees Council 31 of Illinois","AFSCME"
"American Federation of State, County and Municipal Employees Council 73, AFL-CIO-CLC","AFSCME"
"American Federation of State, County and Municipal Employees Council 93, AFL-CIO","AFSCME"
"American Federation of State, County and Municipal Employees Council 93, Local 683, AFL-CIO","AFSCME"
"American Federation of State, County and Municipal Employees District Council 20, Local 3001","AFSCME"
"American Federation of State, County and Municipal Employees District Council 36","AFSCME"
"American Federation of State, County and Municipal Employees District Council 48 AFL-CIO","AFSCME"
"American Federation of State, County and Municipal Employees District Council 87, AFL-CIO","AFSCME"
"American Federation of State, County and Municipal Employees District Council 88","AFSCME"
"American Federation of State, County and Municipal Employees, (AFSCME) Council 31, AFl-CIO","AFSCME"
"American Federation of State, County and Municipal Employees, (AFSCME), Council 40","AFSCME"
"American Federation of State, County and Municipal Employees, AFL-CIO","AFSCME"
"American Federation of State, County and Municipal Employees, AFL-CIO (AFSCME)","AFSCME"
"American Federation of State, County and Municipal Employees, AFL-CIO (AFSCME), Local 1683","AFSCME"
"American Federation of State, County and Municipal Employees, AFL-CIO (AFSCME), Ohio Council 8","AFSCME"
"American Federation of State, County and Municipal Employees, AFL-CIO Council 93","AFSCME"
"American Federation of State, County and Municipal Employees, AFL-CIO, Council 40","AFSCME"
"American Federation of State, County and Municipal Employees, AFL-CIO, Council 93","AFSCME"
"American Federation of State, County and Municipal Employees, AFL-CIO, Council 96 - Local 3558","AFSCME"
"American Federation of State, County and Municipal Employees, AFL-CIO, District Council 20, Local 3001","AFSCME"
"American Federation of State, County and Municipal Employees, AFL-CIO, Local 217","AFSCME"
"American Federation of State, County and Municipal Employees, Council 14, AFL-CIO","AFSCME"
"American Federation of State, County and Municipal Employees, Council 30, AFL-CIO","AFSCME"
